Tag,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
looking_pleasured,149,128,285,465,543,793,1470,2060,3789,7312,11481,13738,15519,23402,31371,40943,51026,48592
spread_legs,722,814,2280,3537,5253,7087,13871,13410,17536,22938,24563,23304,19709,25834,33813,43626,41844,48352
lagomorph,903,551,1607,2773,3212,3668,5318,6226,11514,24274,20881,18169,20008,27758,33062,40457,46593,48292
comic,633,490,2153,4830,8057,9476,13744,15417,19023,27217,24568,23091,21147,27981,33184,41770,46430,48206
looking_back,533,547,1276,1800,3117,5073,9093,10158,13481,18705,21800,24559,22767,29290,35077,44816,44394,47983
long_hair,1146,880,1765,3888,5823,8247,13207,15882,19572,21666,21964,23075,19634,24572,30050,39872,44982,47948
fangs,478,585,1910,1721,1943,4005,7625,7871,10264,15562,16627,18155,17739,26547,31795,45670,44340,47521
vaginal_penetration,633,619,2525,4050,5337,7057,10645,11816,16563,20448,23480,23229,23686,30975,37839,47208,46840,46823
headwear,402,292,895,1776,3508,4796,7238,7225,8957,11577,12962,13615,14159,20511,26477,36612,40582,46579
female_penetrated,607,567,2006,3008,4510,6026,8617,9629,14405,16309,20331,22527,25844,36889,42533,43257,46444,46073
intersex,580,362,933,2332,2381,3293,5936,8295,12536,13901,17476,19532,19310,23533,28584,38747,42834,46004
interspecies,914,750,2566,4477,7622,9506,14295,15159,18768,21004,23773,22735,22177,30531,39062,45159,47083,45421
tan_body,560,407,722,962,1089,1255,3414,2919,4551,7109,9520,10610,10278,16342,25168,34004,40715,45365
big_balls,218,135,583,892,855,1594,3100,3587,5500,7817,11520,14248,13961,20536,28182,37788,42374,45353
red_eyes,517,483,1933,2616,3971,5444,8633,9798,12231,15024,15878,17477,17240,22836,28264,40096,43602,45310
grey_fur,558,349,809,1349,1536,2870,6185,5563,7572,13147,13063,11860,13600,22905,28122,36477,42899,45144
signature,722,389,856,1179,1317,2177,3404,2673,4622,14384,15202,17306,17140,25972,33350,44195,43608,44762
young,1029,1013,2237,3201,5122,5708,9208,9969,14377,19341,19141,20574,20328,26222,31753,41970,44465,44471
reptile,586,382,1217,2640,3113,3955,7637,7625,10922,14901,17549,18953,19328,24005,31279,36939,40313,44390
black_fur,553,394,1138,1993,2029,3318,6706,6805,9504,13861,15293,15460,18122,26479,29769,37818,39102,44136
multicolored_fur,791,535,915,1159,1074,1380,2638,2603,6100,13032,16650,17358,16016,24059,30504,37771,38097,43265
presenting,286,398,1302,1531,2209,4009,9552,10015,10958,14121,18428,20090,17777,24096,31122,40061,39904,43209
ejaculation,471,359,1295,2381,3151,4139,6558,6433,8465,10632,13512,14969,14454,21368,27983,35920,39258,42608
black_nose,771,463,1016,2074,2342,3485,8169,7903,8803,16530,19091,20290,20821,26242,31333,39867,39042,42544
leporid,825,505,1356,2469,2802,3185,4604,5303,9691,22239,18780,15817,16563,24587,29367,36203,41753,42459
3d_(artwork),18,29,268,499,908,1003,1629,3028,5599,7366,8386,10870,12762,17495,22577,33253,36094,42250
yellow_body,445,607,1527,1860,3481,4335,8871,8518,10085,10314,11273,12409,12858,20449,27769,37586,41191,42142
hat,302,235,808,1572,3336,4590,6945,6931,8644,11174,12390,12922,13209,18800,24259,33061,36429,42056
overweight,313,262,623,1750,1940,1927,2672,2940,4286,7014,9667,12981,16272,28426,37024,38429,35786,41410
muscular_anthro,477,180,1168,1631,1859,3575,6378,4717,6104,8985,12367,12534,12632,20961,32549,32306,37946,41344
outside,762,653,2044,3831,5560,7463,12157,12341,14383,20885,21285,22592,22360,29048,35562,40003,39770,41296
rabbit,817,502,1347,2437,2774,3129,4540,5207,9521,22065,18605,15699,16189,23848,28196,34896,40663,41219
white_background,2346,1197,2187,9206,11471,8248,11640,12133,18782,32736,32330,32994,26725,34125,32928,37156,37129,40390
anthro_penetrated,554,261,569,926,1148,1416,2224,2617,4015,5685,7033,9138,15992,26176,30439,33442,39126,40144
shoes,500,318,1140,1788,2787,3143,4203,4683,7068,9400,11801,13593,14307,19863,23635,31334,36276,40119
on_back,529,586,1882,2845,3812,4943,9913,9673,11641,15576,16276,17119,16291,22151,27972,34743,36741,40096
black_hair,528,376,999,1950,2530,4305,7200,7225,10538,13177,14588,15020,14597,21034,25315,32810,36694,39944
glasses,654,447,948,2107,2784,3790,5423,5848,8034,12182,13647,15055,15951,21535,26266,33536,36938,39892
handwear,488,557,1435,1615,2584,2844,4542,5959,8186,10471,12289,13731,13443,20511,24880,32669,35802,39748
saliva,340,381,954,1272,2193,3448,6071,7264,10307,13482,15767,16608,16864,22209,27423,35292,36695,39153
male_penetrating_female,545,526,1874,2832,4254,5576,8019,8892,13106,15145,18876,20402,21509,33010,38409,37467,39864,39152
orange_body,476,441,1227,1379,2035,3012,6124,5956,6755,10553,10648,9948,11277,18362,24235,33482,37003,39007
brown_hair,648,546,1590,2488,3050,4290,7144,7132,10325,14014,14548,14815,14370,19985,26315,33734,37426,38550
ring_piercing,454,276,248,443,460,730,1031,1211,1672,2230,2475,2811,8358,14369,20498,29249,35847,38467
pecs,237,109,562,1067,1217,5492,10290,7530,9277,12367,13102,12593,12440,14534,23690,27281,35180,38389
shaded,191,176,399,690,1108,1433,2140,3213,4155,8830,10729,8445,9385,17211,31266,34710,28296,38177
knot,433,343,857,2157,2290,3191,6032,7247,9452,13060,14499,16067,17448,21435,28210,32479,34607,38116
gloves,472,543,1389,1553,2494,2745,4376,5752,7976,10145,11920,13351,12850,19618,23702,30934,34045,37586
vein,241,139,485,1007,1376,3419,7764,7857,10235,12868,15213,16276,14283,18395,24907,30966,34113,37503
two_tone_body,651,535,769,904,905,1150,2361,2277,5089,8921,11255,12829,10502,17010,22978,34362,35473,37479
portrait,691,418,724,1252,1478,2313,2992,2724,4010,8401,12327,16050,11060,16986,21825,34970,31549,37242
holding_object,957,532,1007,1599,1991,2286,2967,3186,4013,8371,10516,11481,12155,19655,22309,28242,32601,37039
abs,312,181,760,1436,1951,5869,9832,7722,10189,13134,14413,13152,13331,17032,25299,29433,35143,36957
anthro_on_anthro,1110,753,2281,3617,3541,2496,3772,3939,5717,8711,11982,15958,19702,29464,31732,35949,35434,36776
hyper,175,147,522,1344,1333,1618,2294,2862,4564,8215,10797,12951,11609,17874,22024,29735,33666,36720
huge_butt,24,41,61,90,212,345,692,817,1830,3666,4872,6008,7230,10672,18246,25690,29161,36583
pants,645,388,755,1648,2174,2496,3625,3513,4905,8330,9061,9644,10740,18098,22291,29108,34252,36412
bovid,299,251,697,1479,1753,2306,3494,3673,7758,13701,13501,14089,14223,17568,25862,29808,31705,36230
equid,555,616,1247,2264,13017,20281,35257,34833,38062,39561,37807,34804,27420,34708,38017,42958,41421,36150
precum,205,209,690,1140,1455,2619,4793,5424,7444,10484,11301,12269,11687,15345,21252,28135,32850,35771
looking_at_another,310,288,630,1295,1692,2236,2815,2656,3755,5748,6944,7709,8300,15527,20365,26101,30064,35716
fluffy,648,305,835,973,1295,2310,2875,3163,4136,6558,8065,9009,9766,16420,18712,25735,29720,35415
trio,319,212,728,1199,1490,1954,2880,3183,4163,5191,5760,6206,6594,7314,8099,24263,32288,35379
animated,130,110,830,1615,2056,2139,3449,4657,7064,8785,8969,11449,12722,15933,20013,26490,30217,35135
equine,534,581,1172,2152,12746,19849,34617,33814,36546,37339,34957,31156,26167,33137,36354,41469,40159,35134
yellow_eyes,395,308,982,1925,2380,3643,6909,6787,10017,11604,13348,14192,14102,18167,23816,31635,33782,34848
rear_view,408,315,729,1057,1268,1772,2740,4147,5879,9809,11582,12035,10828,15443,21330,27567,30266,34757
2023,0,0,1,0,0,0,1,2,1,0,0,2,4,1,12,132,193682,34510
widescreen,27,36,252,526,1017,1395,2496,3491,6421,9064,9591,11833,13715,19321,24501,31077,31648,33876
open_smile,176,68,198,383,438,437,461,570,789,2248,5241,7514,7166,13061,14908,21926,23681,33823
white_hair,533,381,879,1534,2183,2899,4997,4423,6806,9140,10089,11110,10791,16096,20928,28995,31946,33786
black_clothing,187,129,206,300,368,471,751,756,857,1264,2619,2838,3533,8223,12139,21339,27301,33752
canine_genitalia,335,196,542,1853,1169,1998,4218,4635,6320,10169,10912,12258,13582,16794,22000,27648,30178,33642
avian,250,250,788,2095,3332,3545,4955,6375,8852,11205,12958,13719,14586,18297,23814,28654,32223,33641
gynomorph,385,217,534,1558,1535,2398,4440,6466,10186,10832,14150,16352,15744,19151,22452,29576,32687,33600
green_body,282,168,484,981,1288,1839,3575,3130,4800,6184,7111,7738,7594,13753,18984,29020,32383,33594
seductive,433,107,336,385,761,1379,1983,3503,3784,6661,8483,9542,9471,11280,16923,24682,35609,32746
huge_penis,157,74,344,882,805,1195,1866,2308,3683,6383,9166,11262,10310,15494,20707,27414,30094,32724
male_penetrated,919,663,1943,3736,4788,6768,11189,11539,15596,12962,11806,14945,21418,22675,27032,30317,31060,32685
scales,309,178,498,926,1087,1901,3234,3476,6944,8599,9176,10230,9748,14156,20581,23378,28658,32514
stripes,717,480,1159,2365,2635,3692,5424,5013,7480,10108,11908,10674,9572,15272,18954,27314,30285,32335
veiny_penis,150,94,253,473,490,759,1950,3279,4762,7761,9122,9479,9114,13764,19892,25850,29016,32168
inside,456,322,833,1687,1729,2504,5507,6755,8678,13508,12692,13915,12083,16971,21730,26617,29505,32062
blonde_hair,674,481,1539,2300,4029,5936,9634,9165,11432,13313,13320,14638,14145,19208,25911,31008,34100,31984
red_body,266,252,538,855,1188,1791,3868,3494,5237,7264,8748,8487,8889,15311,20350,27529,30367,31660
purple_body,217,186,434,805,2526,3826,7060,6485,7780,7910,7702,7905,7526,12342,17784,25350,27809,31375
16:9,9,3,76,190,557,813,1855,2779,5545,7860,8621,11002,12995,17652,21998,28258,28736,30949
pupils,248,290,325,404,502,732,1259,1707,2196,3272,4012,5420,4650,7799,11874,19157,22698,30904
pantherine,854,739,1835,3707,4069,6118,7670,7128,9700,13186,14233,13491,16028,21401,23772,29510,29186,30832
vaginal_fluids,328,424,1117,1785,2429,3949,6256,7751,10849,12795,14303,14857,13777,18079,24806,33052,33043,30600
bed,537,525,1413,2113,2789,4036,6256,6946,9684,13240,13367,13605,13223,18133,22969,27135,29000,30594
tan_fur,329,178,438,598,674,867,2606,2422,3677,6071,7286,7989,7955,11733,18161,23318,27840,29994
blue_fur,337,312,974,1299,3183,5017,8807,9227,10197,10073,11037,11626,11596,17890,20071,26119,28012,29639
dripping,148,157,367,633,930,1297,3402,2904,3926,6648,6550,7185,6758,10589,16102,22340,27728,29600
half-closed_eyes,338,210,661,1096,1190,1666,3202,7286,11996,17419,18409,19004,17425,15471,16415,24202,24487,29375
colored,53,20,130,475,429,424,791,1255,1468,2813,2425,2142,1900,3875,7532,14742,22316,29175
hybrid,361,286,801,1545,2291,2996,4391,5350,7187,10752,12238,12105,11213,14777,18945,24198,28006,29151
anthro_penetrating,481,180,450,825,1048,1469,2143,2214,3462,4553,5497,7435,12632,22340,25399,27305,28374,28873
femboy,316,352,830,1107,1530,1977,3688,4114,6259,8410,10654,11459,10864,14119,17640,23555,26849,28584
glistening,168,136,246,482,515,820,3715,2293,1542,2335,2972,4446,5233,10249,12426,25833,23090,28493
foreskin,365,287,657,1075,1295,2062,3801,4984,7873,12197,13807,13235,12363,14608,19951,23956,26306,28435
front_view,770,312,674,1184,1411,1621,2167,2434,4238,9724,11372,10398,7599,11001,14242,22604,22843,28395
